Unnamed: 0,name,aoi,latitude,longitude,pass,scene,tile,insitu_data_path,wlvar,datevar
36,ilsm_gnssir,stlawrence,47.13406742,-70.37016392,"['035', '242', '341', '548', '009']","['237L', '071R', '238R', '072L', '238L']","['119F', '036F', '119F', '036F', '119F']",ilsm_gnssir_l2.csv,wlvl CGVD28 (m),datetime UTC
37,3170_chs,stlawrence,47.216167,-70.274667,"['035', '242', '341', '548', '009']","['238L', '071R', '238R', '072L', '238L']","['119F', '036F', '119F', '036F', '119F']",3170_chs_l2.csv,wlvl CGVD28 (m),datetime UTC
38,prsf_gnssir,stlawrence,47.30390971,-70.56145042,"['035', '242', '341', '548', '009']","['238L', '071R', '238R', '071L', '238L']","['119F', '036F', '119F', '036F', '119F']",prsf_gnssir_l2.csv,wlvl CGVD28 (m),datetime UTC
39,srda_sol,stlawrence,47.31710836,-70.17173935,"['035', '242', '341', '009']","['238L', '071R', '238R', '238L']","['119F', '036F', '119F', '119F']",srda_sol_l2.csv,wlvl CGVD28 (m),datetime UTC
40,srda_ct2x,stlawrence,47.31710836,-70.17173935,"['035', '242', '341', '009']","['238L', '071R', '238R', '238L']","['119F', '036F', '119F', '119F']",srda_ct2x_l2.csv,wlvl CGVD28 (m),datetime UTC
41,3057_chs,stlawrence,47.448833,-70.3655,"['035', '242', '341', '548', '009']","['238L', '071R', '238R', '071L', '238L']","['119F', '036F', '119F', '036F', '119F']",3057_chs_l2.csv,wlvl CGVD28 (m),datetime UTC
42,cpao_sol,stlawrence,47.49434611,-70.22882732,"['035', '242', '341', '009']","['238L', '071R', '238R', '238L']","['119F', '036F', '119F', '119F']",cpao_sol_l2.csv,wlvl CGVD28 (m),datetime UTC
43,cpao_ct2x,stlawrence,47.49434611,-70.22882732,"['035', '242', '341', '009']","['238L', '071R', '238R', '238L']","['119F', '036F', '119F', '119F']",cpao_ct2x_l2.csv,wlvl CGVD28 (m),datetime UTC
44,ptor_sol,stlawrence,47.46596713,-70.03645713,"['035', '242', '341', '009']","['238L', '071R', '238R', '238R']","['119F', '036F', '119F', '119F']",ptor_sol_l2.csv,wlvl CGVD28 (m),datetime UTC
45,ptor_ct2x,stlawrence,47.46596713,-70.03645713,"['035', '242', '341', '009']","['238L', '071R', '238R', '238R']","['119F', '036F', '119F', '119F']",ptor_ct2x_l2.csv,wlvl CGVD28 (m),datetime UTC
46,3130_chs,stlawrence,47.846833,-69.571833,"['035', '242', '520', '009']","['239L', '070L', '070R', '239R']","['120F', '035F', '035F', '120F']",3130_chs_l2.csv,wlvl CGVD28 (m),datetime UTC
47,ilvs_gnssir,stlawrence,48.03962108,-69.40630679,"['035', '242', '520', '009']","['239R', '070L', '070R', '239R']","['120F', '035F', '035F', '120F']",ilvs_gnssir_l2.csv,wlvl CGVD28 (m),datetime UTC
48,ilvn_sol,stlawrence,48.0528723,-69.42324474,"['035', '242', '520', '009']","['239R', '070L', '070R', '239R']","['120F', '035F', '035F', '120F']",ilvn_sol_l2.csv,wlvl CGVD28 (m),datetime UTC
49,grbr_gnssir,stlawrence,48.2279735,-69.55438938,"['035', '242', '520', '009']","['239L', '070L', '069R', '240R']","['120F', '035F', '035F', '120F']",grbr_gnssir_l2.csv,wlvl CGVD28 (m),datetime UTC
50,trps_gnssir,stlawrence,48.16995846,-69.13267567,"['035', '520', '009']","['240R', '070R', '240R']","['120F', '035F', '120F']",trps_gnssir_l2.csv,wlvl CGVD28 (m),datetime UTC
51,2985_chs,stlawrence,48.478333,-68.513667,"['035', '214', '313', '520']","['240R', '069R', '240L', '069L']","['120F', '035F', '120F', '035F']",2985_chs_l2.csv,wlvl CGVD28 (m),datetime UTC
52,IssigaVillage,komo,0.312185995,9.375994038,"['042', '016']","['154R', '154R']","['077F', '077F']",komo_IssigaVillage_updateWSE_gauge_removedry.csv,WL_EGM08_dry,Time
53,Obelo village,komo,0.133880032,9.423982026,"['042', '016']","['154L', '154R']","['077F', '077F']",komo_ObeloVillage_updateWSE_gauge.csv,WL_EGM08,Time
54,Agoume,komo,0.059728017,9.496295974,"['042', '473', '016']","['154L', '154L', '154R']","['077F', '077F', '077F']",,WL_EGM08,Time
55,Obelo,komo,0.205645971,9.42424899,"['042', '016']","['154L', '154R']","['077F', '077F']",,WL_EGM08,Time
56,Obelo barometer,komo,0.205569,9.424142,"['042', '016']","['154L', '154R']","['077F', '077F']",,WL_EGM08,Time
57,Tchentchoua,komo,0.022892989,9.806173006,"['042', '473', '016']","['155L', '154L', '155L']","['078F', '077F', '078F']",komo_Tchentchoua_updateWSE_gauge.csv,WL_EGM08,Time
